2020-08-09 20:55:45
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.00, 1.00, 0.82
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
B_destruct_subscription           14812884884582 ns   107363465798 ns            1
B_destruct_subscription           14812885655982 ns   107364228090 ns            1
B_destruct_subscription           14812886432082 ns   107365010961 ns            1
B_destruct_subscription           14812887367682 ns   107365947591 ns            1
B_destruct_subscription           14812888281482 ns   107366861860 ns            1
B_destruct_subscription           14812889248982 ns   107367826904 ns            1
B_destruct_subscription           14812890203982 ns   107368786473 ns            1
B_destruct_subscription           14812891152282 ns   107369733866 ns            1
B_destruct_subscription           14812892173082 ns   107370754478 ns            1
B_destruct_subscription           14812893095182 ns   107371687645 ns            1
B_destruct_subscription           14812893961482 ns   107372544701 ns            1
B_destruct_subscription           14812894916882 ns   107373493902 ns            1
B_destruct_subscription           14812897045082 ns   107374834424 ns            1
B_destruct_subscription           14812898082582 ns   107375855212 ns            1
B_destruct_subscription           14812899049982 ns   107376824383 ns            1
B_destruct_subscription           14812900044482 ns   107377818992 ns            1
B_destruct_subscription           14812901072382 ns   107378843012 ns            1
B_destruct_subscription           14812902121982 ns   107379897287 ns            1
B_destruct_subscription           14812903187382 ns   107380952218 ns            1
B_destruct_subscription           14812904149182 ns   107381896671 ns            1
B_destruct_subscription           14812904834082 ns   107382588169 ns            1
B_destruct_subscription           14812905405482 ns   107383124587 ns            1
B_destruct_subscription           14812906201582 ns   107383948387 ns            1
B_destruct_subscription           14812906744382 ns   107384490846 ns            1
B_destruct_subscription           14812907288482 ns   107385035005 ns            1
B_destruct_subscription           14812908075882 ns   107385822873 ns            1
B_destruct_subscription           14812908630782 ns   107386377470 ns            1
B_destruct_subscription           14812909183482 ns   107386930306 ns            1
B_destruct_subscription           14812909849082 ns   107387595624 ns            1
B_destruct_subscription           14812910395282 ns   107388141857 ns            1
B_destruct_subscription           14812911070582 ns   107388816827 ns            1
B_destruct_subscription           14812911729082 ns   107389475488 ns            1
B_destruct_subscription           14812912383782 ns   107390131291 ns            1
B_destruct_subscription           14812913183782 ns   107390930633 ns            1
B_destruct_subscription           14812913775582 ns   107391522412 ns            1
B_destruct_subscription           14812914362682 ns   107392109244 ns            1
B_destruct_subscription           14812915151082 ns   107392898030 ns            1
B_destruct_subscription           14812915740482 ns   107393487192 ns            1
B_destruct_subscription           14812916329082 ns   107394075599 ns            1
B_destruct_subscription           14812917114982 ns   107394861978 ns            1
B_destruct_subscription           14812917704682 ns   107395451406 ns            1
B_destruct_subscription           14812918294982 ns   107396041856 ns            1
B_destruct_subscription           14812919080682 ns   107396827649 ns            1
B_destruct_subscription           14812919755282 ns   107397504735 ns            1
B_destruct_subscription           14812920772182 ns   107398516582 ns            1
B_destruct_subscription           14812921931082 ns   107399663116 ns            1
B_destruct_subscription_mean      14812902916030 ns   107380940080 ns           50
B_destruct_subscription_median    14812905119782 ns   107382856378 ns           50
B_destruct_subscription_stddev      12143339 ns     11797987 ns           50
C_subscribe_subscription          14812944428782 ns   107421827851 ns            1
C_subscribe_subscription          14812960183182 ns   107437347212 ns            1
C_subscribe_subscription          14812973790382 ns   107450957562 ns            1
C_subscribe_subscription          14812990973882 ns   107468132654 ns            1
C_subscribe_subscription          14813007381682 ns   107484529599 ns            1
C_subscribe_subscription          14813019482882 ns   107496645377 ns            1
C_subscribe_subscription          14813035885182 ns   107513037471 ns            1
C_subscribe_subscription          14813051923082 ns   107529070296 ns            1
C_subscribe_subscription          14813064420782 ns   107541563952 ns            1
C_subscribe_subscription          14813080544082 ns   107556298497 ns            1
C_subscribe_subscription          14813097142482 ns   107572783549 ns            1
C_subscribe_subscription          14813111219582 ns   107586857147 ns            1
C_subscribe_subscription          14813124205682 ns   107599879656 ns            1
C_subscribe_subscription          14813140296982 ns   107615975517 ns            1
C_subscribe_subscription          14813156325782 ns   107631883306 ns            1
C_subscribe_subscription          14813167928182 ns   107643566537 ns            1
C_subscribe_subscription          14813183582082 ns   107659224036 ns            1
C_subscribe_subscription          14813199916782 ns   107675554412 ns            1
C_subscribe_subscription          14813213285782 ns   107688924432 ns            1
C_subscribe_subscription          14813227524482 ns   107703166078 ns            1
C_subscribe_subscription          14813243668682 ns   107719273573 ns            1
C_subscribe_subscription          14813258523482 ns   107734092000 ns            1
C_subscribe_subscription          14813270557182 ns   107746198401 ns            1
C_subscribe_subscription          14813286705282 ns   107762346311 ns            1
C_subscribe_subscription          14813305623182 ns   107781261460 ns            1
C_subscribe_subscription          14813317596782 ns   107793219617 ns            1
C_subscribe_subscription          14813333298082 ns   107808939831 ns            1
C_subscribe_subscription          14813349474382 ns   107825117138 ns            1
C_subscribe_subscription          14813362596282 ns   107838239613 ns            1
C_subscribe_subscription          14813376607782 ns   107851930988 ns            1
C_subscribe_subscription          14813393004682 ns   107868325546 ns            1
C_subscribe_subscription          14813410293482 ns   107885018844 ns            1
C_subscribe_subscription          14813422950282 ns   107897636631 ns            1
C_subscribe_subscription          14813439431082 ns   107914154593 ns            1
C_subscribe_subscription          14813455557082 ns   107930287757 ns            1
C_subscribe_subscription          14813467619282 ns   107942091467 ns            1
C_subscribe_subscription          14813483300682 ns   107957775905 ns            1
C_subscribe_subscription          14813500102082 ns   107974574753 ns            1
C_subscribe_subscription          14813513227782 ns   107987716476 ns            1
C_subscribe_subscription          14813526919582 ns   108001397210 ns            1
C_subscribe_subscription          14813543351482 ns   108017818206 ns            1
C_subscribe_subscription          14813558282582 ns   108032754674 ns            1
C_subscribe_subscription          14813570262482 ns   108044734893 ns            1
C_subscribe_subscription          14813588188182 ns   108062053218 ns            1
C_subscribe_subscription          14813606925582 ns   108080794242 ns            1
