2020-08-09 20:48:24
Running ../release/bin/pubsub
Run on (2 X 1598.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x2)
  L1 Instruction 32K (x2)
  L2 Unified 256K (x2)
  L3 Unified 3072K (x2)
Load Average: 1.02, 0.94, 0.67
----------------------------------------------------------------------------
Benchmark                                  Time             CPU   Iterations
E_update_legacy                         3.08 ns         3.08 ns    229816724
E_update_legacy                         3.06 ns         3.06 ns    229816724
E_update_legacy                         3.08 ns         3.08 ns    229816724
E_update_legacy                         3.05 ns         3.05 ns    229816724
E_update_legacy                         3.04 ns         3.04 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.02 ns         3.01 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.03 ns         3.02 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.04 ns         3.04 ns    229816724
E_update_legacy                         3.04 ns         3.04 ns    229816724
E_update_legacy                         3.04 ns         3.03 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.03 ns         3.03 ns    229816724
E_update_legacy                         3.04 ns         3.03 ns    229816724
E_update_legacy                         3.01 ns         3.00 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.08 ns         3.08 ns    229816724
E_update_legacy                         2.98 ns         2.98 ns    229816724
E_update_legacy                         3.00 ns         3.00 ns    229816724
E_update_legacy                         3.01 ns         3.01 ns    229816724
E_update_legacy                         3.05 ns         3.05 ns    229816724
E_update_legacy                         2.98 ns         2.98 ns    229816724
E_update_legacy                         3.00 ns         2.99 ns    229816724
E_update_legacy                         2.98 ns         2.98 ns    229816724
E_update_legacy                         3.00 ns         3.00 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.04 ns         3.04 ns    229816724
E_update_legacy                         3.49 ns         3.47 ns    229816724
E_update_legacy                         3.28 ns         3.25 ns    229816724
E_update_legacy                         3.04 ns         3.03 ns    229816724
E_update_legacy                         3.06 ns         3.05 ns    229816724
E_update_legacy                         2.98 ns         2.97 ns    229816724
E_update_legacy                         3.03 ns         3.01 ns    229816724
E_update_legacy                         2.99 ns         2.99 ns    229816724
E_update_legacy                         3.01 ns         3.00 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.02 ns         3.02 ns    229816724
E_update_legacy                         3.03 ns         3.03 ns    229816724
E_update_legacy                         3.06 ns         3.05 ns    229816724
E_update_legacy                         3.00 ns         3.00 ns    229816724
E_update_legacy                         3.03 ns         3.03 ns    229816724
E_update_legacy                         3.03 ns         3.03 ns    229816724
E_update_legacy_mean                    3.04 ns         3.03 ns           50
E_update_legacy_median                  3.02 ns         3.02 ns           50
E_update_legacy_stddev                 0.078 ns        0.075 ns           50
A_create_subscription                 686538 ns       681337 ns          979
A_create_subscription                 672257 ns       668550 ns          979
A_create_subscription                 671633 ns       670443 ns          979
A_create_subscription                 665783 ns       661772 ns          979
A_create_subscription                 679719 ns       672721 ns          979
A_create_subscription                 674948 ns       672209 ns          979
A_create_subscription                 661355 ns       659685 ns          979
A_create_subscription                 680488 ns       665655 ns          979
A_create_subscription                 662343 ns       661276 ns          979
A_create_subscription                 664234 ns       662952 ns          979
A_create_subscription                 666960 ns       665589 ns          979
A_create_subscription                 668301 ns       667556 ns          979
A_create_subscription                 664514 ns       663791 ns          979
A_create_subscription                 661362 ns       660649 ns          979
A_create_subscription                 666665 ns       664142 ns          979
A_create_subscription                 667121 ns       663757 ns          979
A_create_subscription                 666841 ns       663647 ns          979
A_create_subscription                 675664 ns       671406 ns          979
A_create_subscription                 673102 ns       668956 ns          979
A_create_subscription                 654916 ns       653935 ns          979
A_create_subscription                 660217 ns       658838 ns          979
A_create_subscription                 679447 ns       677779 ns          979
A_create_subscription                 658500 ns       657741 ns          979
A_create_subscription                 675239 ns       673923 ns          979
A_create_subscription                 671823 ns       669062 ns          979
A_create_subscription                 660473 ns       659083 ns          979
A_create_subscription                 659644 ns       658475 ns          979
A_create_subscription                 657744 ns       655843 ns          979
A_create_subscription                 674167 ns       673322 ns          979
A_create_subscription                 689283 ns       688213 ns          979
A_create_subscription                 662403 ns       660792 ns          979
A_create_subscription                 662929 ns       661649 ns          979
A_create_subscription                 670861 ns       670210 ns          979
A_create_subscription                 671637 ns       670336 ns          979
A_create_subscription                 685721 ns       684718 ns          979
A_create_subscription                 674317 ns       669521 ns          979
A_create_subscription                 665357 ns       664068 ns          979
A_create_subscription                 664753 ns       663904 ns          979
A_create_subscription                 667754 ns       666789 ns          979
A_create_subscription                 662549 ns       661177 ns          979
A_create_subscription                 668612 ns       667831 ns          979
A_create_subscription                 664774 ns       664347 ns          979
A_create_subscription                 661942 ns       661181 ns          979
A_create_subscription                 663771 ns       662903 ns          979
A_create_subscription                 659482 ns       658562 ns          979
A_create_subscription                 659513 ns       658143 ns          979
A_create_subscription                 659133 ns       658036 ns          979
A_create_subscription                 660313 ns       659251 ns          979
A_create_subscription                 665654 ns       665011 ns          979
A_create_subscription                 659932 ns       659370 ns          979
A_create_subscription_mean            667654 ns       665602 ns           50
A_create_subscription_median          665718 ns       663986 ns           50
A_create_subscription_stddev            7944 ns         7189 ns           50
B_destruct_subscription           14366290267319 ns   102195956202 ns            1
B_destruct_subscription           14366291554465 ns   102197222996 ns            1
B_destruct_subscription           14366292555450 ns   102198235261 ns            1
B_destruct_subscription           14366293314243 ns   102198990720 ns            1
B_destruct_subscription           14366294127444 ns   102199804338 ns            1
B_destruct_subscription           14366295117025 ns   102200795455 ns            1
B_destruct_subscription           14366296020299 ns   102201697287 ns            1
B_destruct_subscription           14366296940875 ns   102202617738 ns            1
B_destruct_subscription           14366297897012 ns   102203574406 ns            1
B_destruct_subscription           14366298798068 ns   102204476228 ns            1
B_destruct_subscription           14366299656989 ns   102205334137 ns            1
B_destruct_subscription           14366300492532 ns   102206169165 ns            1
B_destruct_subscription           14366301234616 ns   102206910009 ns            1
B_destruct_subscription           14366302053038 ns   102207726940 ns            1
B_destruct_subscription           14366302959981 ns   102208634358 ns            1
B_destruct_subscription           14366303588652 ns   102209264873 ns            1
B_destruct_subscription           14366304257426 ns   102209922102 ns            1
B_destruct_subscription           14366304756129 ns   102210419901 ns            1
B_destruct_subscription           14366305271683 ns   102210934779 ns            1
B_destruct_subscription           14366305841997 ns   102211505833 ns            1
